order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"39","039","/couple-bingo","The Little Things We Notice","CoupleBingoPage","src/pages/CoupleBingoPage.jsx + src/components/CoupleBingo.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107948","true","9","30","56","625","151","CoupleBingo","rounded-xl text-[11px] font-bold text-center border-2 font-ui bg-rose-500 text-white border-rose-500 shadow-lg bg-white text-gray-700","b7a8cf9f2c","NO","NO","The Little Things We Notice uses CoupleBingoPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Sanzu, Abu made the Couple Bingo room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss A.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a promise map for the places we still want to see","Samjhana, my Sanzu, Abu made the Couple Bingo room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss A","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page "
"40","040","/love-review","Abu’s Review of Samjhana","LoveReviewPage","src/pages/LoveReviewPage.jsx + src/components/LoveReview.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","45875","true","0","0","51","174","27","LoveReview","text-amber-500 text-left font-ui rounded-2xl bg-white border-2 border-amber-200 shadow-md text-xl text-xs font-bold text-gray-900","e47ee74acd","NO","NO","Abu’s Review of Samjhana uses LoveReviewPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Samjhana, Abu made the Love Review room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved i.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a Bageshwori memory pressed between two pages","Samjhana, my Samjhana, Abu made the Love Review room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved i","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a quiet “open when” note for your pocket for Sa"
"41","041","/love-diary","Pages Abu Writes About You","LoveDiaryPage","src/pages/LoveDiaryPage.jsx + src/components/LoveDiary.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","108789","true","10","31","56","633","151","LoveDiary","text-xs text-gray-400 font-ui bg-amber-50 border-2 border-amber-300 rounded-3xl shadow-2xl text-2xl font-bold font-nepali text-rose-600","2dc4e46dff","NO","NO","Pages Abu Writes About You uses LoveDiaryPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Fuchee, Abu made the Love Diary room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu..","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a compliment saved for your next tired day","Samjhana, my Fuchee, Abu made the Love Diary room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your smile makes Abu forget what he was worried about. This page is Ab"
"42","042","/love-scrabble","The Words Abu Keeps","LoveScrabblePage","src/pages/LoveScrabblePage.jsx + src/components/LoveScrabble.jsx + src/components/WorldShell.jsx + src/themes.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","52482","true","0","0","66","196","37","LoveScrabble","font-ui text-center rounded-full bg-gradient-to-r from-amber-500/20 to-rose-500/20 border-amber-300 text-amber-700 font-bold text-xs text-amber-500 text-4xl","b02a55b052","NO","NO","The Words Abu Keeps uses LoveScrabblePage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Runchi, Abu made the Love Scrabble room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved i.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a Bageshwori memory pressed between two pages","Samjhana, my Runchi, Abu made the Love Scrabble room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved i","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a quiet “open when” note for your pocket for Bh"
"43","043","/love-lottery","The Lucky Number Is You","LoveLotteryPage","src/pages/LoveLotteryPage.jsx + src/components/LoveLottery.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107864","true","9","30","56","629","148","LoveLottery","rounded-3xl border-2 shadow-lg bg-amber-50 border-amber-300 bg-gradient-to-br from-amber-400 to-yellow-500 text-amber-950 text-3xl font-bold text-xs","d87d794df7","NO","NO","The Lucky Number Is You uses LoveLotteryPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bhuntu, Abu made the Love Lottery room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside .","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a bouquet of words for your soft days","Samjhana, my Bhuntu, Abu made the Love Lottery room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside ","This is a reminder that you are loved in the details. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s"
"44","044","/love-tamagotchi","A Tiny Heart to Look After","LoveTamagotchiPage","src/pages/LoveTamagotchiPage.jsx + src/components/LoveTamagotchi.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","108685","true","9","30","63","630","148","LoveTamagotchi","rounded-3xl bg-pink-50 border-4 border-pink-300 shadow-2xl text-6xl text-xs font-bold text-rose-600 bg-white rounded-full border-pink-200","ca0a11ab4e","NO","NO","A Tiny Heart to Look After uses LoveTamagotchiPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Sanzu, Abu made the Love Tamagotchi room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a remi.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a Bageshwori memory pressed between two pages","Samjhana, my Sanzu, Abu made the Love Tamagotchi room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a remi","Open this when you miss Abu. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a quiet “open when” note"
"45","045","/secret-vault","The Secret Abu Saved","SecretVaultPage","src/pages/SecretVaultPage.jsx + src/components/SecretVault.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","110324","true","9","30","63","635","149","SecretVault","text-amber-400 rounded-3xl bg-slate-900 border-4 border-amber-400 shadow-2xl text-white font-ui text-green-400 text-rose-400 text-sm font-bold","96ab5bb3c7","NO","NO","The Secret Abu Saved uses SecretVaultPage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a voice-note moment for the nights you miss home. Voice: Samjhana, my Sanu, Abu made the Secret Vault room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would still choo.","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a voice-note moment for the nights you miss home","Samjhana, my Sanu, Abu made the Secret Vault room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would still choo","The gift inside is not expensive; it is specific to you. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu"
"46","046","/love-tarot","A Reading for Abu and Sanzu","LoveTarotPage","src/pages/LoveTarotPage.jsx + src/components/LoveTarot.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107568","true","9","30","54","628","150","LoveTarot","rounded-3xl border-2 shadow-lg bg-purple-50 border-purple-300 bg-gradient-to-br from-indigo-900 to-purple-900 border-purple-500 text-purple-200 text-xs font-bold","44e9ad18a1","NO","NO","A Reading for Abu and Sanzu uses LoveTarotPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a voice-note moment for the nights you miss home. Voice: Samjhana, my Samjhana, Abu made the Love Tarot room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The secret is si.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a voice-note moment for the nights you miss home","Samjhana, my Samjhana, Abu made the Love Tarot room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The secret is si","The gift inside is not expensive; it is specific to you. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Ab"
"47","047","/memory-lane","The Lane of Our First Memories","MemoryLanePage","src/pages/MemoryLanePage.jsx + src/utils/mediaUtils.js + src/data/pageGiftData.js + src/data/pageNames.js","321890","true","12","32","8","5949","2310","page-specific source","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[2rem] shadow-xl rounded-[1.5rem] ring-4 ring-[","8996d87644","NO","NO","The Lane of Our First Memories uses MemoryLanePage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Runchi, Abu made the Memory Lane room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss A.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a compliment saved for your next tired day","Samjhana, my Runchi, Abu made the Memory Lane room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss A","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page "
"48","048","/hug-counter","Hugs Abu Owes You","HugCounterPage","src/pages/HugCounterPage.jsx + src/components/HugCounter.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","113393","true","9","30","81","627","148","HugCounter","text-yellow-500 text-orange-500 text-rose-500 text-purple-500 text-pink-600 to-hug from-rose-500 to-orange-500 from-pink-500 to-rose-500 from-blue-400 to-pink-400","a46fe10cb1","NO","NO","Hugs Abu Owes You uses HugCounterPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a birthday blessing written in Abu’s handwriting. Voice: Samjhana, my Bhuntu, Abu made the Hug Counter room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not ex.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a birthday blessing written in Abu’s handwriting","Samjhana, my Bhuntu, Abu made the Hug Counter room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not ex","This is a reminder that you are loved in the details. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a tiny cinema tic"
"49","049","/love-crossword","A Crossword Made of Our Clues","LoveCrosswordPage","src/pages/LoveCrosswordPage.jsx + src/components/LoveCrossword.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","116685","true","9","30","74","650","149","LoveCrossword","text-rose-500 font-ui text-left bg-white/80 rounded-2xl border-pink-200 shadow-sm text-xs font-bold text-gray-800 text-rose-600 font-extrabold","1ea9f4c5e9","NO","NO","A Crossword Made of Our Clues uses LoveCrosswordPage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a voice-note moment for the nights you miss home. Voice: Samjhana, my Runchi, Abu made the Love Crossword room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would still .","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a voice-note moment for the nights you miss home","Samjhana, my Runchi, Abu made the Love Crossword room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would still ","The gift inside is not expensive; it is specific to you. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu"
"50","050","/love-radio","Abu’s Late-Night Radio for You","LoveRadioPage","src/pages/LoveRadioPage.jsx + src/components/LoveRadio.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107583","true","9","30","55","631","148","LoveRadio","rounded-3xl bg-amber-900 border-4 border-amber-700 shadow-2xl text-amber-100 rounded-2xl bg-amber-950 border-amber-800 text-center font-mono text-xs","91cbe08b5d","NO","NO","Abu’s Late-Night Radio for You uses LoveRadioPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Babe, Abu made the Love Radio room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss Abu..","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a compliment saved for your next tired day","Samjhana, my Babe, Abu made the Love Radio room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page "
"51","051","/blessing-tree","A Tree of Abu’s Blessings","BlessingTreePage","src/pages/BlessingTreePage.jsx + src/components/BlessingTree.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107413","true","9","30","55","622","148","BlessingTree","rounded-2xl bg-amber-50 border-4 border-amber-300 shadow-2xl bg-amber-200 rounded-b-md text-3xl bg-gray-600 rounded-full bg-gradient-to-r from-amber-500","0ca4c1bbad","NO","NO","A Tree of Abu’s Blessings uses BlessingTreePage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bebo, Abu made the Blessing Tree room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is s.","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a bouquet of words for your soft days","Samjhana, my Bebo, Abu made the Blessing Tree room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is s","This is a reminder that you are loved in the details. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s "
"52","052","/love-vibe","The Feeling You Leave in Every Room","LoveVibePage","src/pages/LoveVibePage.jsx + src/components/LoveVibe.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","115402","true","11","32","89","645","149","LoveVibe","font-ui bg-white/80 rounded-2xl border-pink-200 shadow-sm text-xs font-bold text-gray-800 rounded-full bg-amber-100 text-amber-800 font-extrabold","827a09986c","NO","NO","The Feeling You Leave in Every Room uses LoveVibePage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Babe, Abu made the Love Vibe room around the future light-blue scooter ride toward Bardiya. This is a reminder that you are loved in the .","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a Bageshwori memory pressed between two pages","Samjhana, my Babe, Abu made the Love Vibe room around the future light-blue scooter ride toward Bardiya. This is a reminder that you are loved in the ","Open this when you miss Abu. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a quiet “open when” note "
"53","053","/bento-box","A Bento Box of Small Memories","BentoBoxPage","src/pages/BentoBoxPage.jsx + src/components/BentoBox.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107761","true","9","30","56","622","148","BentoBox","rounded-3xl bg-rose-900 border-4 border-rose-700 shadow-2xl rounded-2xl bg-rose-100 text-rose-950 font-bold text-xs text-center border-2","fea97d2649","NO","NO","A Bento Box of Small Memories uses BentoBoxPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bhoot, Abu made the Bento Box room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensive; it.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a bouquet of words for your soft days","Samjhana, my Bhoot, Abu made the Bento Box room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensive; it","This is a reminder that you are loved in the details. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’"
"54","054","/love-coupon-generator","Coupons Abu Would Give You","LoveCouponGeneratorPage","src/pages/LoveCouponGeneratorPage.jsx + src/components/LoveCouponGenerator.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","123453","true","9","30","75","678","159","LoveCouponGenerator","from-rose-500 to-pink-600 from-amber-500 to-rose-500 from-sky-500 to-indigo-600 from-purple-600 from-yellow-500 to-amber-600 from-pink-500 to-rose-600 from-amber-400","086bf2fa3a","NO","NO","Coupons Abu Would Give You uses LoveCouponGeneratorPage. Memory: Water Park laughter and the day moving too quickly. Gift: a soft landing place for a difficult day. Voice: Samjhana, my Bebo, Abu made the Love Coupon Generator room around Water Park laughter and the day moving too quickly. Keep this for the next time dist.","Water Park laughter and the day moving too quickly","Your “huss” can make a long day feel close again.","a soft landing place for a difficult day","Samjhana, my Bebo, Abu made the Love Coupon Generator room around Water Park laughter and the day moving too quickly. Keep this for the next time dist","Read this slowly, Sanu. It was made for your exact heart. Your “huss” can make a long day feel close again. This page is Abu’s a bouquet of words for "
"55","055","/star-namer","The Star Abu Named for Samjhana","StarNamerPage","src/pages/StarNamerPage.jsx + src/components/StarNamer.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","122532","true","12","33","68","660","159","StarNamer","ring-orion text-amber-400 font-ui bg-indigo-950/80 rounded-2xl border-indigo-500/30 text-white shadow-xl text-xs font-bold text-indigo-200 rounded-xl","3cdfe13946","NO","NO","The Star Abu Named for Samjhana uses StarNamerPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Bhuntu, Abu made the Star Namer room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Open this when you.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a promise map for the places we still want to see","Samjhana, my Bhuntu, Abu made the Star Namer room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Open this when you","The secret is simple: Abu would still choose you in every version of the story. You make Abu want to become gentler, steadier, and more worthy of your"
"56","056","/love-jar-notes","Notes Abu Put in the Jar","LoveJarNotesPage","src/pages/LoveJarNotesPage.jsx + src/utils/mediaUtils.js + src/data/pageGiftData.js + src/data/pageNames.js","321346","true","12","32","6","5947","2310","page-specific source","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[1.5rem] shadow-lg rounded-[2rem] border-rose-200 bg-white/75","3f74b30f02","NO","NO","Notes Abu Put in the Jar uses LoveJarNotesPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a future postcard from the light-blue scooter road. Voice: Samjhana, my Samjhana, Abu made the Love Jar Notes room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was .","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a future postcard from the light-blue scooter road","Samjhana, my Samjhana, Abu made the Love Jar Notes room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was ","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a Bageshwori memory p"
"57","057","/sweet-compliments","The Sweet Things Abu Means","SweetComplimentsPage","src/pages/SweetComplimentsPage.jsx + src/components/SweetCompliments.jsx","3642","true","0","0","5","4","29","SweetCompliments","design tokens not detected","f9a3f6280f","NO","NO","The Sweet Things Abu Means uses SweetComplimentsPage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Bebo, Abu made the Sweet Compliments room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu..","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a promise map for the places we still want to see","Samjhana, my Bebo, Abu made the Sweet Compliments room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any f"
"58","058","/kiss-collector","Kisses Saved for the Day We Meet","KissCollectorPage","src/pages/KissCollectorPage.jsx + src/components/KissCollector.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","111513","true","9","30","65","628","154","KissCollector","text-pink-400 text-xs font-bold text-gray-500 rounded-full border-3 shadow-md ring-2 ring-offset-2 ring-pink-500 bg-pink-500 text-white","dfaea2bd9d","NO","NO","Kisses Saved for the Day We Meet uses KissCollectorPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a birthday blessing written in Abu’s handwriting. Voice: Samjhana, my Sanzu, Abu made the Kiss Collector room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensiv.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a birthday blessing written in Abu’s handwriting","Samjhana, my Sanzu, Abu made the Kiss Collector room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensiv","This is a reminder that you are loved in the details. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’"
"59","059","/love-memory-flip","Turn Over an Abu Memory","LoveMemoryFlipPage","src/pages/LoveMemoryFlipPage.jsx + src/components/LoveMemoryFlip.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","119816","true","11","32","82","678","183","LoveMemoryFlip","text-pink-500 font-ui bg-white/80 rounded-3xl border-2 border-pink-300 shadow-md rounded-full text-xs font-black bg-rose-500 text-white","eeefadf335","NO","NO","Turn Over an Abu Memory uses LoveMemoryFlipPage. Memory: dropping you at the Language Institute before Japan. Gift: a promise folded into a keepsake card. Voice: Samjhana, my Bhoot, Abu made the Love Memory Flip room around dropping you at the Language Institute before Japan. This page is a soft place to land w.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a promise folded into a keepsake card","Samjhana, my Bhoot, Abu made the Love Memory Flip room around dropping you at the Language Institute before Japan. This page is a soft place to land w","A small surprise: Abu remembers more than he says. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This p"
"60","060","/sound-wave","The Sound of Your Name","SoundWavePage","src/pages/SoundWavePage.jsx + src/components/SoundWave.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","118037","true","11","32","65","646","157","SoundWave","text-purple-400 font-ui rounded-3xl bg-gradient-to-b from-purple-950 via-slate-900 to-indigo-950 text-white border-2 border-purple-500/40 shadow-2xl text-center","e69b7c6e0c","NO","NO","The Sound of Your Name uses SoundWavePage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a memory ribbon tied to your favourite name. Voice: Samjhana, my Bhuntu, Abu made the Sound Wave room around late-night video calls between Nepalgunj and Sakai, Osaka. The secret is simple: Abu would st.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a memory ribbon tied to your favourite name","Samjhana, my Bhuntu, Abu made the Sound Wave room around late-night video calls between Nepalgunj and Sakai, Osaka. The secret is simple: Abu would st","The gift inside is not expensive; it is specific to you. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is A"
"61","061","/love-passport-stamps","Stamps from Our Story","LovePassportStampsPage","src/pages/LovePassportStampsPage.jsx + src/components/LovePassportStamps.jsx","3943","true","0","0","7","17","7","LovePassportStamps","design tokens not detected","ed8871d19b","NO","NO","Stamps from Our Story uses LovePassportStampsPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a future postcard from the light-blue scooter road. Voice: Samjhana, my Samjhana, Abu made the Love Passport Stamps room around the dream of Pokhara, Manang, and Mustang waiting for us. Read this slowly, Sanu..","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a future postcard from the light-blue scooter road","Samjhana, my Samjhana, Abu made the Love Passport Stamps room around the dream of Pokhara, Manang, and Mustang waiting for us. Read this slowly, Sanu.","This page is a soft place to land when your day is heavy. You are beautiful in the moments you never think to pose for. This page is Abu’s a Bageshwor"
"62","062","/mood-ring","The Mood Abu Notices First","MoodRingPage","src/pages/MoodRingPage.jsx + src/components/MoodRing.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107469","true","9","30","59","623","148","MoodRing","bg-rose-500 bg-purple-500 bg-amber-400 rounded-full bg-slate-900 border-4 border-pink-400 shadow-2xl text-white text-pink-400 text-slate-400 text-[11px]","0859f48484","NO","NO","The Mood Abu Notices First uses MoodRingPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Sanu, Abu made the Mood Ring room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not expens.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a bouquet of words for your soft days","Samjhana, my Sanu, Abu made the Mood Ring room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not expens","This is a reminder that you are loved in the details. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a future postcard"
