page_number,slug,category,primary_asset_id,secondary_assets,one_line_concept,mechanic_code,layout_type,mood_code,emotional_beat,photo_use_type
202,love-spell-caster-studio,LETTER,, ,Unique page idea: Love Spell Caster Studio,message-sequence,single-column,M-WINE,distinct,TYPE-A
203,love-spin-bottle,CHAT,, ,Unique page idea: Love Spin Bottle,guided-interaction,split-screen,M-PAPER,distinct,TYPE-A
204,love-spinner3-d,WHY_I_LOVE,, ,Unique page idea: Love Spinner3 D,randomized-choice,typography-first,M-DAWN,distinct,TYPE-A
205,love-stamp-collection,FUTURE,, ,Unique page idea: Love Stamp Collection,audio,ui-simulation,M-GREY,distinct,TYPE-A
206,love-sweet-confectionery-bakery,SURPRISE,, ,Unique page idea: Love Sweet Confectionery Bakery,guided-interaction,immersive-scroll,M-FOREST,distinct,TYPE-A
207,love-sweet-heart-paper-craft,MILESTONE,, ,Unique page idea: Love Sweet Heart Paper Craft,message-sequence,interactive-canvas,M-DUSK,distinct,TYPE-A
208,love-tamagotchi,SENSORY,, ,Unique page idea: Love Tamagotchi,guided-interaction,masonry-grid,M-FIELD,distinct,TYPE-A
209,love-tarot-oracle2,MEMORY,, ,Unique page idea: Love Tarot Oracle2,randomized-choice,editorial-two-column,M-FROST,distinct,TYPE-A
210,love-tarot,LETTER,, ,Unique page idea: Love Tarot,randomized-choice,horizontal-scroll,M-AMBER,distinct,TYPE-A
211,love-tetris-block-puzzle,CHAT,, ,Unique page idea: Love Tetris Block Puzzle,visual-collection,full-bleed-hero,M-GOLD,distinct,TYPE-A
212,love-tetris,WHY_I_LOVE,, ,Unique page idea: Love Tetris,spatial-exploration,single-column,M-NIGHT,distinct,TYPE-A
213,love-thermometer,FUTURE,, ,Unique page idea: Love Thermometer,guided-interaction,split-screen,M-BLUSH,distinct,TYPE-A
214,love-time-machine,SURPRISE,, ,Unique page idea: Love Time Machine,time-reveal,typography-first,M-MONO,distinct,TYPE-A
215,love-tree-growth,MILESTONE,, ,Unique page idea: Love Tree Growth,grow-or-assemble,ui-simulation,M-SEPIA,distinct,TYPE-A
216,love-trivia-quiz,SENSORY,, ,Unique page idea: Love Trivia Quiz,game-or-puzzle,immersive-scroll,M-ELECT,distinct,TYPE-A
217,love-vault-combination,MEMORY,, ,Unique page idea: Love Vault Combination,guided-interaction,interactive-canvas,M-WINE,distinct,TYPE-A
218,love-vibe,LETTER,, ,Unique page idea: Love Vibe,guided-interaction,masonry-grid,M-PAPER,distinct,TYPE-A
219,love-wheel-fortune,CHAT,, ,Unique page idea: Love Wheel Fortune,randomized-choice,editorial-two-column,M-DAWN,distinct,TYPE-A
220,love-wish-bottle-ocean,WHY_I_LOVE,, ,Unique page idea: Love Wish Bottle Ocean,guided-interaction,horizontal-scroll,M-GREY,distinct,TYPE-A
221,love-wish-well,FUTURE,, ,Unique page idea: Love Wish Well,spatial-exploration,full-bleed-hero,M-FOREST,distinct,TYPE-A
222,love-wishes-sky,SURPRISE,, ,Unique page idea: Love Wishes Sky,spatial-exploration,single-column,M-DUSK,distinct,TYPE-A
223,love-wizard-tower,MILESTONE,, ,Unique page idea: Love Wizard Tower,guided-interaction,split-screen,M-FIELD,distinct,TYPE-A
224,love-wordle,SENSORY,, ,Unique page idea: Love Wordle,game-or-puzzle,typography-first,M-FROST,distinct,TYPE-A
225,magic8-ball-love,MEMORY,, ,Unique page idea: Magic8 Ball Love,guided-interaction,ui-simulation,M-AMBER,distinct,TYPE-A
226,magnetic-poetry,LETTER,, ,Unique page idea: Magnetic Poetry,guided-interaction,immersive-scroll,M-GOLD,distinct,TYPE-A
227,memory-constellation-map,CHAT,, ,Unique page idea: Memory Constellation Map,spatial-exploration,interactive-canvas,M-NIGHT,distinct,TYPE-A
228,memory-lane,WHY_I_LOVE,, ,Unique page idea: Memory Lane,message-sequence,masonry-grid,M-BLUSH,distinct,TYPE-A
229,memory-match,FUTURE,, ,Unique page idea: Memory Match,guided-interaction,editorial-two-column,M-MONO,distinct,TYPE-A
230,memory-replay,SURPRISE,, ,Unique page idea: Memory Replay,message-sequence,horizontal-scroll,M-SEPIA,distinct,TYPE-A
231,mood-ring,MILESTONE,, ,Unique page idea: Mood Ring,spatial-exploration,full-bleed-hero,M-ELECT,distinct,TYPE-A
232,movie-ticket-creator,SENSORY,, ,Unique page idea: Movie Ticket Creator,visual-collection,single-column,M-WINE,distinct,TYPE-A
233,music-box,MEMORY,, ,Unique page idea: Music Box,audio,split-screen,M-PAPER,distinct,TYPE-A
234,mystery-gifts,LETTER,, ,Unique page idea: Mystery Gifts,guided-interaction,typography-first,M-DAWN,distinct,TYPE-A
235,nepalgunj-to-osaka-flight-sim,CHAT,, ,Unique page idea: Nepalgunj To Osaka Flight Sim,audio,ui-simulation,M-GREY,distinct,TYPE-A
236,new-year-love-fireworks,WHY_I_LOVE,, ,Unique page idea: New Year Love Fireworks,grow-or-assemble,immersive-scroll,M-FOREST,distinct,TYPE-A
237,origami-boat,FUTURE,, ,Unique page idea: Origami Boat,letter-or-paper,interactive-canvas,M-DUSK,distinct,TYPE-A
238,origami-crane,SURPRISE,, ,Unique page idea: Origami Crane,letter-or-paper,masonry-grid,M-FIELD,distinct,TYPE-A
239,origami,MILESTONE,, ,Unique page idea: Origami,letter-or-paper,editorial-two-column,M-FROST,distinct,TYPE-A
240,paper-airplane-messenger,SENSORY,, ,Unique page idea: Paper Airplane Messenger,letter-or-paper,horizontal-scroll,M-AMBER,distinct,TYPE-A
241,passport,MEMORY,, ,Unique page idea: Passport,visual-collection,full-bleed-hero,M-GOLD,distinct,TYPE-A
242,photo-booth,LETTER,, ,Unique page idea: Photo Booth,visual-collection,single-column,M-NIGHT,distinct,TYPE-A
243,photo-puzzle3-d,CHAT,, ,Unique page idea: Photo Puzzle3 D,visual-collection,split-screen,M-BLUSH,distinct,TYPE-A
244,pixel-heart-painter,WHY_I_LOVE,, ,Unique page idea: Pixel Heart Painter,reveal,typography-first,M-MONO,distinct,TYPE-A
245,polaroid-designer,FUTURE,, ,Unique page idea: Polaroid Designer,visual-collection,ui-simulation,M-SEPIA,distinct,TYPE-A
246,promise-tree,SURPRISE,, ,Unique page idea: Promise Tree,grow-or-assemble,immersive-scroll,M-ELECT,distinct,TYPE-A
247,promise-trio,MILESTONE,, ,Unique page idea: Promise Trio,message-sequence,interactive-canvas,M-WINE,distinct,TYPE-A
248,quiz-duel,SENSORY,, ,Unique page idea: Quiz Duel,game-or-puzzle,masonry-grid,M-PAPER,distinct,TYPE-A
249,quiz,MEMORY,, ,Unique page idea: Quiz,game-or-puzzle,editorial-two-column,M-DAWN,distinct,TYPE-A
250,quote-generator,LETTER,, ,Unique page idea: Quote Generator,audio,horizontal-scroll,M-GREY,distinct,TYPE-A
251,ring-surprise,CHAT,, ,Unique page idea: Ring Surprise,reveal,full-bleed-hero,M-FOREST,distinct,TYPE-A
252,romance-word-jumble,WHY_I_LOVE,, ,Unique page idea: Romance Word Jumble,game-or-puzzle,single-column,M-DUSK,distinct,TYPE-A
253,romantic-audio-player,FUTURE,, ,Unique page idea: Romantic Audio Player,audio,split-screen,M-FIELD,distinct,TYPE-A
254,romantic-charades,SURPRISE,, ,Unique page idea: Romantic Charades,guided-interaction,typography-first,M-FROST,distinct,TYPE-A
255,romantic-cooking-recipe,MILESTONE,, ,Unique page idea: Romantic Cooking Recipe,guided-interaction,ui-simulation,M-AMBER,distinct,TYPE-A
256,romantic-flower-garden,SENSORY,, ,Unique page idea: Romantic Flower Garden,grow-or-assemble,immersive-scroll,M-GOLD,distinct,TYPE-A
257,romantic-karaoke,MEMORY,, ,Unique page idea: Romantic Karaoke,audio,interactive-canvas,M-NIGHT,distinct,TYPE-A
258,romantic-locket-changer,LETTER,, ,Unique page idea: Romantic Locket Changer,grow-or-assemble,masonry-grid,M-BLUSH,distinct,TYPE-A
259,romantic-memory-wheel,CHAT,, ,Unique page idea: Romantic Memory Wheel,randomized-choice,editorial-two-column,M-MONO,distinct,TYPE-A
260,romantic-message-grid,WHY_I_LOVE,, ,Unique page idea: Romantic Message Grid,message-sequence,horizontal-scroll,M-SEPIA,distinct,TYPE-A
261,romantic-music-box2,FUTURE,, ,Unique page idea: Romantic Music Box2,audio,full-bleed-hero,M-ELECT,distinct,TYPE-A
262,romantic-night-sky-writer,SURPRISE,, ,Unique page idea: Romantic Night Sky Writer,spatial-exploration,single-column,M-WINE,distinct,TYPE-A
263,romantic-petal-rain,MILESTONE,, ,Unique page idea: Romantic Petal Rain,grow-or-assemble,split-screen,M-PAPER,distinct,TYPE-A
264,romantic-photo-slider3-d,SENSORY,, ,Unique page idea: Romantic Photo Slider3 D,visual-collection,typography-first,M-DAWN,distinct,TYPE-A
265,romantic-playlist-mixer,MEMORY,, ,Unique page idea: Romantic Playlist Mixer,guided-interaction,ui-simulation,M-GREY,distinct,TYPE-A
266,romantic-replacement,LETTER,, ,Unique page idea: Romantic Replacement,randomized-choice,immersive-scroll,M-FOREST,distinct,TYPE-A
267,room10,CHAT,, ,Unique page idea: Room10,message-sequence,interactive-canvas,M-DUSK,distinct,TYPE-A
268,room11,WHY_I_LOVE,, ,Unique page idea: Room11,audio,masonry-grid,M-FIELD,distinct,TYPE-A
269,room12,FUTURE,, ,Unique page idea: Room12,visual-collection,editorial-two-column,M-FROST,distinct,TYPE-A
270,room1,SURPRISE,, ,Unique page idea: Room1,spatial-exploration,horizontal-scroll,M-AMBER,distinct,TYPE-A
271,room2,MILESTONE,, ,Unique page idea: Room2,audio,full-bleed-hero,M-GOLD,distinct,TYPE-A
272,room3,SENSORY,, ,Unique page idea: Room3,visual-collection,single-column,M-NIGHT,distinct,TYPE-A
273,room4,MEMORY,, ,Unique page idea: Room4,guided-interaction,split-screen,M-BLUSH,distinct,TYPE-A
274,room5,LETTER,, ,Unique page idea: Room5,guided-interaction,typography-first,M-MONO,distinct,TYPE-A
275,room6,CHAT,, ,Unique page idea: Room6,spatial-exploration,ui-simulation,M-SEPIA,distinct,TYPE-A
276,room7,WHY_I_LOVE,, ,Unique page idea: Room7,letter-or-paper,immersive-scroll,M-ELECT,distinct,TYPE-A
277,room8,FUTURE,, ,Unique page idea: Room8,spatial-exploration,interactive-canvas,M-WINE,distinct,TYPE-A
278,room9,SURPRISE,, ,Unique page idea: Room9,grow-or-assemble,masonry-grid,M-PAPER,distinct,TYPE-A
279,royal-crown,MILESTONE,, ,Unique page idea: Royal Crown,audio,editorial-two-column,M-DAWN,distinct,TYPE-A
280,sanzu-photo-gallery-grid,SENSORY,, ,Unique page idea: Sanzu Photo Gallery Grid,visual-collection,horizontal-scroll,M-GREY,distinct,TYPE-A
281,scratch-memory,MEMORY,, ,Unique page idea: Scratch Memory,reveal,full-bleed-hero,M-FOREST,distinct,TYPE-A
282,scratch-surprise,LETTER,, ,Unique page idea: Scratch Surprise,reveal,single-column,M-DUSK,distinct,TYPE-A
283,secret-cipher-wheel,CHAT,, ,Unique page idea: Secret Cipher Wheel,randomized-choice,split-screen,M-FIELD,distinct,TYPE-A
284,secret-language,WHY_I_LOVE,, ,Unique page idea: Secret Language,message-sequence,typography-first,M-FROST,distinct,TYPE-A
285,secret-vault,FUTURE,, ,Unique page idea: Secret Vault,guided-interaction,ui-simulation,M-AMBER,distinct,TYPE-A
286,secret-vault-second,SURPRISE,, ,Unique page idea: Secret Vault Second,message-sequence,immersive-scroll,M-GOLD,distinct,TYPE-A
287,snow-globe-shaker,MILESTONE,, ,Unique page idea: Snow Globe Shaker,spatial-exploration,interactive-canvas,M-NIGHT,distinct,TYPE-A
288,sound-wave,SENSORY,, ,Unique page idea: Sound Wave,message-sequence,masonry-grid,M-BLUSH,distinct,TYPE-A
289,spin-wheel,MEMORY,, ,Unique page idea: Spin Wheel,randomized-choice,editorial-two-column,M-MONO,distinct,TYPE-A
290,star-drawer,LETTER,, ,Unique page idea: Star Drawer,spatial-exploration,horizontal-scroll,M-SEPIA,distinct,TYPE-A
291,star-namer,CHAT,, ,Unique page idea: Star Namer,message-sequence,full-bleed-hero,M-ELECT,distinct,TYPE-A
292,star-projector,WHY_I_LOVE,, ,Unique page idea: Star Projector,spatial-exploration,single-column,M-WINE,distinct,TYPE-A
293,starry-night-skywriter,FUTURE,, ,Unique page idea: Starry Night Skywriter,spatial-exploration,split-screen,M-PAPER,distinct,TYPE-A
294,stars,SURPRISE,, ,Unique page idea: Stars,randomized-choice,typography-first,M-DAWN,distinct,TYPE-A
295,story,MILESTONE,, ,Unique page idea: Story,game-or-puzzle,ui-simulation,M-GREY,distinct,TYPE-A
296,surprise,SENSORY,, ,Unique page idea: Surprise,guided-interaction,immersive-scroll,M-FOREST,distinct,TYPE-A
297,sweet-compliments-fountain,MEMORY,, ,Unique page idea: Sweet Compliments Fountain,guided-interaction,interactive-canvas,M-DUSK,distinct,TYPE-A
298,sweet-compliments,LETTER,, ,Unique page idea: Sweet Compliments,message-sequence,masonry-grid,M-FIELD,distinct,TYPE-A
299,sweet-dessert-tower,CHAT,, ,Unique page idea: Sweet Dessert Tower,guided-interaction,editorial-two-column,M-FROST,distinct,TYPE-A
300,sweet-dream-catcher,WHY_I_LOVE,, ,Unique page idea: Sweet Dream Catcher,guided-interaction,horizontal-scroll,M-AMBER,distinct,TYPE-A
301,sweet-garden-blooms,FUTURE,, ,Unique page idea: Sweet Garden Blooms,grow-or-assemble,full-bleed-hero,M-GOLD,distinct,TYPE-A
302,sweet-heart-balloon-ascent,SURPRISE,, ,Unique page idea: Sweet Heart Balloon Ascent,guided-interaction,single-column,M-NIGHT,distinct,TYPE-A
303,sweet-memory-scrapbook,MILESTONE,, ,Unique page idea: Sweet Memory Scrapbook,guided-interaction,split-screen,M-BLUSH,distinct,TYPE-A
304,sweet-promises-jar,SENSORY,, ,Unique page idea: Sweet Promises Jar,audio,typography-first,M-MONO,distinct,TYPE-A
305,sweet-proposal-simulator,MEMORY,, ,Unique page idea: Sweet Proposal Simulator,guided-interaction,ui-simulation,M-SEPIA,distinct,TYPE-A
306,sweet-tea-ceremony,LETTER,, ,Unique page idea: Sweet Tea Ceremony,spatial-exploration,immersive-scroll,M-ELECT,distinct,TYPE-A
307,sweet-voicemail-inbox,CHAT,, ,Unique page idea: Sweet Voicemail Inbox,message-sequence,interactive-canvas,M-WINE,distinct,TYPE-A
308,tic-tac-toe,WHY_I_LOVE,, ,Unique page idea: Tic Tac Toe,guided-interaction,masonry-grid,M-PAPER,distinct,TYPE-A
309,time-capsule,FUTURE,, ,Unique page idea: Time Capsule,letter-or-paper,editorial-two-column,M-DAWN,distinct,TYPE-A
310,timeline-puzzle,SURPRISE,, ,Unique page idea: Timeline Puzzle,time-reveal,horizontal-scroll,M-GREY,distinct,TYPE-A
311,treasure-chest,MILESTONE,, ,Unique page idea: Treasure Chest,visual-collection,full-bleed-hero,M-FOREST,distinct,TYPE-A
312,two-truths,SENSORY,, ,Unique page idea: Two Truths,game-or-puzzle,single-column,M-DUSK,distinct,TYPE-A
313,ultimate300th-love-coronation,MEMORY,, ,Unique page idea: Ultimate300th Love Coronation,guided-interaction,split-screen,M-FIELD,distinct,TYPE-A
314,valentine-card-creator,LETTER,, ,Unique page idea: Valentine Card Creator,guided-interaction,typography-first,M-FROST,distinct,TYPE-A
315,video,CHAT,ASSET_185, ,Unique page idea: Video,audio,ui-simulation,M-AMBER,distinct,TYPE-A
316,virtual-cat-cafe,WHY_I_LOVE,, ,Unique page idea: Virtual Cat Cafe,message-sequence,immersive-scroll,M-GOLD,distinct,TYPE-A
317,voice-soundboard,FUTURE,, ,Unique page idea: Voice Soundboard,message-sequence,interactive-canvas,M-NIGHT,distinct,TYPE-A
318,wax-sealer,SURPRISE,, ,Unique page idea: Wax Sealer,letter-or-paper,masonry-grid,M-BLUSH,distinct,TYPE-A
319,whats-app10k-love,MILESTONE,, ,Unique page idea: Whats App10k Love,message-sequence,editorial-two-column,M-MONO,distinct,TYPE-A
320,wish-dandelion,SENSORY,, ,Unique page idea: Wish Dandelion,grow-or-assemble,horizontal-scroll,M-SEPIA,distinct,TYPE-A
321,wish-wheel,MEMORY,, ,Unique page idea: Wish Wheel,randomized-choice,full-bleed-hero,M-ELECT,distinct,TYPE-A
322,wishing-well,LETTER,, ,Unique page idea: Wishing Well,guided-interaction,single-column,M-WINE,distinct,TYPE-A
323,word-search,CHAT,, ,Unique page idea: Word Search,game-or-puzzle,split-screen,M-PAPER,distinct,TYPE-A
